"2014/03/12 02:16:06","11322","0","85","6358m","967m","1487.00","46785"
"2014/03/12 02:16:09","11322","0","85","6358m","967m","1450.00","46787"
"2014/03/12 02:16:12","11322","0","85","6358m","967m","1460.00","46785"
"2014/03/12 02:16:16","11322","0","85","6358m","967m","1491.00","46786"
"2014/03/12 02:16:19","11322","0","85","6358m","967m","1456.00","46786"
"2014/03/12 02:16:22","11322","0","85","6358m","967m","1495.00","46785"
"2014/03/12 02:16:25","11322","0","85","6358m","968m","1410.00","46785"
"2014/03/12 02:16:29","11322","0","85","6358m","967m","1496.00","46784"
"2014/03/12 02:16:32","11322","0","85","6358m","967m","1458.00","46786"
"2014/03/12 02:16:35","11322","0","85","6358m","967m","1438.00","46785"
"2014/03/12 02:16:38","11322","0","85","6358m","967m","1452.00","46787"
"2014/03/12 02:16:42","11322","0","85","6358m","967m","1423.00","46785"
"2014/03/12 02:16:45","11322","0","85","6358m","967m","1441.00","46786"
"2014/03/12 02:16:48","11322","0","85","6358m","967m","1472.00","46786"
"2014/03/12 02:16:51","11322","0","85","6358m","967m","1454.00","46784"
"2014/03/12 02:16:55","11322","0","85","6358m","967m","1473.00","46786"
"2014/03/12 02:16:58","11322","0","85","6358m","967m","1392.00","46786"
"2014/03/12 02:17:01","11322","0","85","6358m","967m","1465.00","46786"
"2014/03/12 02:17:04","11322","0","85","6358m","967m","1414.00","46785"
"2014/03/12 02:17:07","11322","0","85","6358m","967m","1472.00","46786"
"2014/03/12 02:17:11","11322","0","85","6358m","967m","1424.00","46785"
"2014/03/12 02:17:14","11322","0","85","6358m","967m","1436.00","46786"
"2014/03/12 02:17:17","11322","0","85","6358m","966m","1444.00","46786"
"2014/03/12 02:17:20","11322","0","85","6358m","967m","1463.00","46786"
"2014/03/12 02:17:24","11322","0","85","6358m","967m","1464.00","46786"
"2014/03/12 02:17:27","11322","0","85","6358m","967m","1434.00","46786"
"2014/03/12 02:17:30","11322","0","85","6358m","967m","1437.00","46784"
"2014/03/12 02:17:34","11322","0","85","6358m","967m","1414.00","46786"
"2014/03/12 02:17:37","11322","0","85","6358m","967m","1460.00","46785"
"2014/03/12 02:17:40","11322","0","85","6358m","967m","1442.00","46785"
"2014/03/12 02:17:43","11322","0","85","6358m","967m","1456.00","46785"
"2014/03/12 02:17:47","11322","0","85","6358m","967m","1442.00","46784"
"2014/03/12 02:17:50","11322","0","85","6358m","968m","1421.00","46783"
"2014/03/12 02:17:53","11322","0","85","6358m","968m","1504.00","46784"
"2014/03/12 02:17:57","11322","0","85","6358m","967m","1441.00","46784"
"2014/03/12 02:18:00","11322","0","85","6358m","968m","1468.00","46785"
"2014/03/12 02:18:03","11322","0","85","6358m","967m","1445.00","46785"
"2014/03/12 02:18:06","11322","0","85","6358m","967m","1462.00","46786"
"2014/03/12 02:18:10","11322","0","85","6358m","967m","1460.00","46785"
"2014/03/12 02:18:13","11322","0","85","6358m","967m","1466.00","46786"
"2014/03/12 02:18:16","11322","0","85","6358m","966m","1492.00","46787"
"2014/03/12 02:18:19","11322","0","85","6358m","972m","1440.00","46779"
"2014/03/12 02:18:23","11322","0","85","6358m","971m","1474.00","46780"
"2014/03/12 02:18:26","11322","0","85","6358m","972m","1412.00","46781"
"2014/03/12 02:18:29","11322","0","85","6358m","972m","1454.00","46780"
"2014/03/12 02:18:32","11322","0","85","6358m","972m","1474.00","46781"
"2014/03/12 02:18:36","11322","0","85","6358m","972m","1423.00","46781"
"2014/03/12 02:18:39","11322","0","85","6358m","973m","1434.00","46780"
"2014/03/12 02:18:42","11322","0","85","6358m","972m","1461.00","46780"
"2014/03/12 02:18:45","11322","0","85","6358m","973m","1480.00","46779"
