"2014/03/12 06:58:10","5784","0","85","6359m","1.1g","1471.00","46549"
"2014/03/12 06:58:14","5784","0","85","6359m","1.1g","1425.00","46547"
"2014/03/12 06:58:19","5784","0","85","6359m","1.1g","1440.00","46547"
"2014/03/12 06:58:23","5784","0","85","6359m","1.1g","1482.00","46547"
"2014/03/12 06:58:28","5784","0","85","6359m","1.1g","1486.00","46546"
"2014/03/12 06:58:32","5784","0","85","6359m","1.1g","1425.00","46548"
"2014/03/12 06:58:36","5784","0","85","6359m","1.1g","1445.00","46547"
"2014/03/12 06:58:41","5784","0","85","6359m","1.1g","1478.00","46547"
"2014/03/12 06:58:45","5784","0","85","6359m","1.1g","1401.00","46547"
"2014/03/12 06:58:50","5784","0","85","6359m","1.1g","1458.00","46546"
"2014/03/12 06:58:54","5784","0","85","6359m","1.1g","1372.00","46547"
"2014/03/12 06:58:58","5784","0","85","6359m","1.1g","1468.00","46547"
"2014/03/12 06:59:03","5784","0","85","6359m","1.1g","1483.00","46546"
"2014/03/12 06:59:07","5784","0","85","6359m","1.1g","1472.00","46548"
"2014/03/12 06:59:11","5784","0","85","6359m","1.1g","1474.00","46546"
"2014/03/12 06:59:16","5784","0","85","6359m","1.1g","1435.00","46548"
"2014/03/12 06:59:20","5784","0","85","6359m","1.1g","1462.00","46548"
"2014/03/12 06:59:25","5784","0","85","6359m","1.1g","1504.00","46547"
"2014/03/12 06:59:29","5784","0","85","6359m","1.1g","1499.00","46547"
"2014/03/12 06:59:33","5784","0","85","6359m","1.1g","1468.00","46547"
"2014/03/12 06:59:38","5784","0","85","6359m","1.1g","1444.00","46546"
"2014/03/12 06:59:42","5784","0","85","6359m","1.1g","1457.00","46547"
"2014/03/12 06:59:46","5784","0","85","6359m","1.1g","1458.00","46547"
"2014/03/12 06:59:51","5784","0","85","6359m","1.1g","1447.00","46547"
"2014/03/12 06:59:55","5784","0","85","6359m","1.1g","1436.00","46546"
"2014/03/12 07:00:00","5784","0","85","6359m","1.1g","1358.00","46547"
"2014/03/12 07:00:04","5784","0","85","6359m","1.1g","1466.00","46547"
"2014/03/12 07:00:08","5784","0","85","6359m","1.1g","1460.00","46547"
"2014/03/12 07:00:13","5784","0","85","6359m","1.1g","1458.00","46546"
"2014/03/12 07:00:17","5784","0","85","6359m","1.1g","1490.00","46547"
"2014/03/12 07:00:22","5784","0","85","6359m","1.1g","1450.00","46547"
"2014/03/12 07:00:26","5784","0","85","6359m","1.1g","1474.00","46547"
"2014/03/12 07:00:31","5784","0","85","6359m","1.1g","1466.00","46548"
"2014/03/12 07:00:35","5784","0","85","6359m","1.1g","1482.00","46547"
"2014/03/12 07:00:39","5784","0","85","6359m","1.1g","1456.00","46547"
"2014/03/12 07:00:44","5784","0","85","6359m","1.1g","1496.00","46547"
"2014/03/12 07:00:48","5784","0","85","6359m","1.1g","1434.00","46546"
"2014/03/12 07:00:52","5784","0","85","6359m","1.1g","1466.00","46546"
"2014/03/12 07:00:57","5784","0","85","6359m","1.1g","1466.00","46547"
"2014/03/12 07:01:01","5784","0","85","6359m","1.1g","1416.00","46546"
"2014/03/12 07:01:06","5784","0","85","6359m","1.1g","1460.00","46546"
"2014/03/12 07:01:10","5784","0","85","6359m","1.1g","1448.00","46546"
"2014/03/12 07:01:14","5784","0","85","6359m","1.1g","1488.00","46546"
"2014/03/12 07:01:19","5784","0","85","6359m","1.1g","1480.00","46546"
"2014/03/12 07:01:23","5784","0","85","6359m","1.1g","1443.00","46546"
"2014/03/12 07:01:27","5784","0","85","6359m","1.1g","1412.00","46546"
"2014/03/12 07:01:32","5784","0","85","6359m","1.1g","1440.00","46546"
"2014/03/12 07:01:36","5784","0","85","6359m","1.1g","1464.00","46547"
"2014/03/12 07:01:41","5784","0","85","6359m","1.1g","1448.00","46547"
"2014/03/12 07:01:45","5784","0","85","6359m","1.1g","1435.00","46546"
"2014/03/12 07:01:50","5784","0","85","6359m","1.1g","1508.00","46547"
"2014/03/12 07:01:54","5784","0","85","6359m","1.1g","1474.00","46546"
"2014/03/12 07:01:58","5784","0","85","6359m","1.1g","1448.00","46546"
"2014/03/12 07:02:03","5784","0","85","6359m","1.1g","1468.00","46546"
"2014/03/12 07:02:07","5784","0","85","6359m","1.1g","1461.00","46546"
"2014/03/12 07:02:11","5784","0","85","6359m","1.1g","1472.00","46546"
"2014/03/12 07:02:16","5784","0","85","6359m","1.1g","1478.00","46546"
"2014/03/12 07:02:20","5784","0","85","6359m","1.1g","1468.00","46547"
"2014/03/12 07:02:25","5784","0","85","6359m","1.1g","1466.00","46546"
"2014/03/12 07:02:29","5784","0","85","6359m","1.1g","1452.00","46547"
"2014/03/12 07:02:34","5784","0","85","6359m","1.1g","1410.00","46545"
"2014/03/12 07:02:38","5784","0","85","6359m","1.1g","1466.00","46546"
"2014/03/12 07:02:42","5784","0","85","6359m","1.1g","1457.00","46545"
"2014/03/12 07:02:47","5784","0","85","6359m","1.1g","1468.00","46546"
"2014/03/12 07:02:51","5784","0","85","6359m","1.1g","1437.00","46546"
"2014/03/12 07:02:55","5784","0","85","6359m","1.1g","1412.00","46546"
"2014/03/12 07:03:00","5784","0","85","6359m","1.1g","1436.00","46546"
